SITE_NO,node_id,node_lon,node_lat
5168,52452407,144.9367102,-37.8003421
2015,774545099,144.9583459,-37.8060861
6273,2180345319,144.93711,-37.7740075
520,774545099,144.9583459,-37.8060861
3629,6646643418,144.936422,-37.7934532
3170,774545099,144.9583459,-37.8060861
3171,774545099,144.9583459,-37.8060861
550,774545099,144.9583459,-37.8060861
3486,52452407,144.9367102,-37.8003421
516,774545099,144.9583459,-37.8060861
3259,3374134102,144.9600834,-37.778076
3612,2180345319,144.93711,-37.7740075
3487,52452407,144.9367102,-37.8003421
4160,3374134102,144.9600834,-37.778076
395,774545099,144.9583459,-37.8060861
495,774545099,144.9583459,-37.8060861
6258,2180345319,144.93711,-37.7740075
2855,2180345319,144.93711,-37.7740075
6234,2180345319,144.93711,-37.7740075
3443,774545099,144.9583459,-37.8060861
5047,52452407,144.9367102,-37.8003421
965,774545099,144.9583459,-37.8060861
827,774545099,144.9583459,-37.8060861
2839,774545099,144.9583459,-37.8060861
513,774545099,144.9583459,-37.8060861
514,774545099,144.9583459,-37.8060861
805,3374134102,144.9600834,-37.778076
396,774545099,144.9583459,-37.8060861
7093,9515157446,144.9607317,-37.7919871
301,9515157446,144.9607317,-37.7919871
4489,774545099,144.9583459,-37.8060861
820,9515157446,144.9607317,-37.7919871
2465,9515157446,144.9607317,-37.7919871
2466,9515157446,144.9607317,-37.7919871
2444,774545099,144.9583459,-37.8060861
2456,9515157446,144.9607317,-37.7919871
2457,9515157446,144.9607317,-37.7919871
2458,9515157446,144.9607317,-37.7919871
2459,9515157446,144.9607317,-37.7919871
2460,9515157446,144.9607317,-37.7919871
2461,9515157446,144.9607317,-37.7919871
2462,9515157446,144.9607317,-37.7919871
2463,9515157446,144.9607317,-37.7919871
302,774545099,144.9583459,-37.8060861
3281,774545099,144.9583459,-37.8060861
2518,2142179147,144.9364301,-37.7994074
2791,2180345319,144.93711,-37.7740075
109,9515157446,144.9607317,-37.7919871
1558,52452407,144.9367102,-37.8003421
2486,774545099,144.9583459,-37.8060861
963,774545099,144.9583459,-37.8060861
5657,9515157446,144.9607317,-37.7919871
1100,9515157446,144.9607317,-37.7919871
1101,9515157446,144.9607317,-37.7919871
4224,774545099,144.9583459,-37.8060861
5268,52452407,144.9367102,-37.8003421
403,774545099,144.9583459,-37.8060861
4434,702452273,144.9420045,-37.8043054
4435,702452273,144.9420045,-37.8043054
336,774545099,144.9583459,-37.8060861
3079,3374134102,144.9600834,-37.778076
2799,2180345319,144.93711,-37.7740075
3138,774545099,144.9583459,-37.8060861
5301,52452407,144.9367102,-37.8003421
241,774545099,144.9583459,-37.8060861
3639,774545099,144.9583459,-37.8060861
3405,2142179147,144.9364301,-37.7994074
478,774545099,144.9583459,-37.8060861
2647,2142179147,144.9364301,-37.7994074
3760,52452407,144.9367102,-37.8003421
6682,774545099,144.9583459,-37.8060861
6683,774545099,144.9583459,-37.8060861
6684,774545099,144.9583459,-37.8060861
5670,9515157446,144.9607317,-37.7919871
3567,774545099,144.9583459,-37.8060861
304,774545099,144.9583459,-37.8060861
3507,702452273,144.9420045,-37.8043054
401,774545099,144.9583459,-37.8060861
6408,2180345319,144.93711,-37.7740075
2670,2180345319,144.93711,-37.7740075
2671,2180345319,144.93711,-37.7740075
2672,2180345319,144.93711,-37.7740075
4654,774545099,144.9583459,-37.8060861
757,774545099,144.9583459,-37.8060861
943,774545099,144.9583459,-37.8060861
445,774545099,144.9583459,-37.8060861
308,702452273,144.9420045,-37.8043054
4515,702462230,144.9478264,-37.8049147
5048,52452407,144.9367102,-37.8003421
4527,702465424,144.9492306,-37.8050994
3417,9515157446,144.9607317,-37.7919871
539,774545099,144.9583459,-37.8060861
3409,774545099,144.9583459,-37.8060861
5238,52452407,144.9367102,-37.8003421
6334,3374134102,144.9600834,-37.778076
6409,2180345319,144.93711,-37.7740075
2661,2180345319,144.93711,-37.7740075
2659,2180345319,144.93711,-37.7740075
6681,774545099,144.9583459,-37.8060861
5834,2180345319,144.93711,-37.7740075
5835,2180345319,144.93711,-37.7740075
399,774545099,144.9583459,-37.8060861
3211,774545099,144.9583459,-37.8060861
4557,774545099,144.9583459,-37.8060861
3548,774545099,144.9583459,-37.8060861
3547,774545099,144.9583459,-37.8060861
