NB_SCATS_SITE,offpeak_volume,peak_volume
100,4173.0,7193.0
101,3301.0,6139.0
102,6594.0,8388.0
103,3010.0,3742.0
104,6359.0,7486.0
105,9853.0,12404.0
106,4045.0,6532.0
107,10047.0,14710.0
108,3270.0,5379.0
109,5270.0,8078.0
111,6743.0,7923.0
112,8288.0,9729.0
113,5985.0,7623.0
114,6966.0,9356.0
115,7411.0,9638.0
116,3748.0,4343.0
117,16488.0,19778.0
118,3443.0,5083.0
119,5995.0,6974.0
120,10333.0,15511.0
121,15739.0,19162.0
122,5158.0,7848.0
124,9467.0,11571.0
125,9065.0,11433.0
126,14438.0,19014.0
127,9548.0,10672.0
129,8804.0,9738.0
130,10889.0,12542.0
131,6841.0,7284.0
133,12378.0,17272.0
134,10976.0,15574.0
136,10491.0,14493.0
137,11924.0,17358.0
138,15159.0,21475.0
139,10526.0,11396.0
140,6333.0,8192.0
141,9719.0,13021.0
142,7945.0,10007.0
143,10444.0,11973.0
144,4754.0,5623.0
145,6189.0,7832.0
146,6011.0,8857.0
147,2873.0,4179.0
148,3026.0,4491.0
149,10470.0,12329.0
152,5322.0,5665.0
153,9196.0,10549.0
154,2355.0,3250.0
155,3676.0,5063.0
157,10536.0,13652.0
158,10252.0,11517.0
159,8529.0,12274.0
160,1796.0,2540.0
161,7750.0,11466.0
162,10166.0,15211.0
163,7327.0,11038.0
164,14051.0,18244.0
165,7614.0,11259.0
166,9986.0,12546.0
167,6075.0,8244.0
168,8898.0,13971.0
169,9541.0,15443.0
170,11625.0,16412.0
171,7803.0,11069.0
172,7313.0,10199.0
173,7222.0,9619.0
174,11512.0,16388.0
175,8655.0,11898.0
176,11322.0,14973.0
177,13014.0,17543.0
178,7730.0,10678.0
179,9256.0,12545.0
180,6806.0,9445.0
181,5640.0,6884.0
182,6801.0,8982.0
185,14381.0,17865.0
186,5963.0,7694.0
187,2686.0,4753.0
188,7358.0,10857.0
189,8601.0,12415.0
190,11991.0,15755.0
191,7418.0,11078.0
192,7223.0,10206.0
194,8609.0,9864.0
195,18501.0,22125.0
196,11752.0,13963.0
197,9212.0,11174.0
198,10523.0,14762.0
199,9213.0,11736.0
200,12487.0,15166.0
201,9660.0,11327.0
202,17275.0,19319.0
203,11794.0,15814.0
204,7159.0,10299.0
205,7557.0,9904.0
206,9814.0,13359.0
208,9648.0,12085.0
209,5857.0,6941.0
211,5100.0,7638.0
212,5287.0,7926.0
213,3426.0,5610.0
214,6275.0,10800.0
215,6005.0,9130.0
216,7239.0,11091.0
217,3003.0,5137.0
218,2996.0,5135.0
220,2978.0,5129.0
221,5045.0,8035.0
222,4249.0,7429.0
223,6889.0,10239.0
224,4738.0,7750.0
225,2634.0,4392.0
226,2983.0,4833.0
227,3765.0,5554.0
228,3341.0,4779.0
229,1858.0,2607.0
230,5045.0,6453.0
231,6163.0,7676.0
232,5505.0,7312.0
233,7313.0,9831.0
235,5292.0,7824.0
236,6961.0,9759.0
237,10691.0,13015.0
238,6201.0,7453.0
239,11103.0,12835.0
240,5059.0,6626.0
241,10196.0,14453.0
242,3889.0,1867.0
243,3537.0,4190.0
244,5447.0,6139.0
245,2644.0,2870.0
247,4368.0,4750.0
248,3925.0,4182.0
249,4820.0,5204.0
250,4496.0,4885.0
251,9921.0,13261.0
252,8661.0,10174.0
253,8655.0,10333.0
254,6474.0,7829.0
255,7013.0,9873.0
256,15372.0,21742.0
257,12187.0,13665.0
258,14065.0,20258.0
259,5234.0,7666.0
260,2838.0,3052.0
261,6408.0,8755.0
262,4355.0,6708.0
263,6241.0,8499.0
264,11481.0,14304.0
265,13410.0,16394.0
266,4581.0,6563.0
267,8293.0,11293.0
268,8322.0,13132.0
269,6534.0,7591.0
270,10586.0,13811.0
271,7984.0,9325.0
272,5624.0,7288.0
273,3084.0,3934.0
274,5273.0,6743.0
275,5498.0,7622.0
276,9235.0,9976.0
277,5783.0,7534.0
278,5284.0,7598.0
279,4904.0,6050.0
280,7857.0,11939.0
281,6301.0,9519.0
283,7485.0,10070.0
284,3453.0,4982.0
285,3941.0,5298.0
287,12618.0,14295.0
288,5416.0,6862.0
289,2666.0,4839.0
290,7325.0,10247.0
291,10083.0,12883.0
294,4457.0,6194.0
295,11171.0,15441.0
297,7292.0,8321.0
299,4420.0,4762.0
300,10026.0,12898.0
301,5099.0,7549.0
302,4820.0,7228.0
303,8853.0,10830.0
304,8131.0,10676.0
305,9115.0,12119.0
306,2015.0,2749.0
307,7054.0,9645.0
308,5179.0,5683.0
309,2889.0,5395.0
310,8136.0,10550.0
311,10219.0,14286.0
312,2420.0,5289.0
313,9269.0,11712.0
314,5376.0,9219.0
315,1785.0,2199.0
316,3285.0,4667.0
317,10376.0,13112.0
318,13720.0,16051.0
319,9648.0,12392.0
320,3424.0,6168.0
323,6495.0,8383.0
325,12556.0,15883.0
326,14247.0,16170.0
327,8040.0,9830.0
328,3668.0,4916.0
329,7222.0,9865.0
330,9378.0,12748.0
331,6111.0,7850.0
332,11335.0,14639.0
333,6167.0,7886.0
334,6147.0,7938.0
335,9110.0,12016.0
337,10678.0,13207.0
338,5295.0,7238.0
339,9149.0,13768.0
340,3928.0,5758.0
342,6592.0,9009.0
343,5153.0,7830.0
345,4308.0,6671.0
346,3388.0,5083.0
348,4501.0,6589.0
349,,
350,0.0,0.0
351,6437.0,8646.0
352,5328.0,6830.0
353,7787.0,10358.0
354,7415.0,10463.0
355,4833.0,7817.0
356,6347.0,9592.0
357,3767.0,5632.0
358,9599.0,12637.0
359,6076.0,8189.0
360,8557.0,12447.0
361,9402.0,12725.0
362,4905.0,6419.0
363,6366.0,8960.0
364,6663.0,9244.0
365,5250.0,8601.0
366,4744.0,7342.0
367,9102.0,14058.0
369,9458.0,13157.0
370,4765.0,6968.0
371,7857.0,11043.0
372,4670.0,6109.0
373,7073.0,9261.0
374,8030.0,11344.0
375,11409.0,14109.0
376,4491.0,6891.0
377,9337.0,11699.0
378,9216.0,14005.0
379,4490.0,8016.0
383,5547.0,9810.0
384,7243.0,9123.0
385,1827.0,3129.0
387,4725.0,6339.0
388,0.0,1.0
389,6136.0,7966.0
391,10700.0,14155.0
393,11784.0,13064.0
394,8106.0,10193.0
395,5829.0,8199.0
396,4444.0,7612.0
397,4007.0,5814.0
398,13876.0,16918.0
399,9846.0,13725.0
400,9200.0,15293.0
401,5592.0,10296.0
403,8426.0,13072.0
404,2420.0,2993.0
405,5317.0,6910.0
407,6033.0,7386.0
408,19306.0,24442.0
409,11609.0,13470.0
411,11678.0,14453.0
412,6860.0,10253.0
413,12026.0,15483.0
414,20366.0,23582.0
415,20226.0,21764.0
416,21604.0,22626.0
417,15607.0,19498.0
418,11135.0,13733.0
420,9935.0,13039.0
421,0.0,0.0
422,14231.0,19052.0
423,12012.0,14941.0
424,11897.0,14553.0
426,13186.0,16879.0
427,10757.0,12799.0
429,16734.0,21303.0
430,13014.0,15724.0
431,11977.0,14609.0
432,14576.0,18680.0
433,12030.0,14908.0
434,4814.0,5233.0
435,6335.0,8163.0
436,5827.0,6994.0
437,4472.0,5491.0
438,7866.0,11090.0
439,5344.0,8017.0
440,4852.0,7794.0
441,9226.0,14791.0
442,9938.0,14726.0
443,0.0,0.0
444,5175.0,6904.0
445,4444.0,6992.0
446,3105.0,4522.0
448,9822.0,14691.0
449,7273.0,11438.0
450,7881.0,11327.0
451,9580.0,13737.0
452,0.0,0.0
453,3900.0,4449.0
454,7755.0,11406.0
455,8563.0,13878.0
456,15201.0,20163.0
457,6095.0,7937.0
459,8792.0,11841.0
460,4885.0,7297.0
461,1129.0,1655.0
462,0.0,0.0
463,6755.0,10104.0
464,16972.0,27948.0
465,3059.0,4075.0
466,3539.0,4747.0
467,8805.0,10587.0
468,0.0,0.0
469,4784.0,6652.0
470,0.0,0.0
471,0.0,0.0
472,7920.0,9436.0
473,2914.0,4076.0
474,4773.0,6862.0
475,0.0,0.0
476,4225.0,5474.0
477,0.0,0.0
479,5559.0,6859.0
480,6541.0,7864.0
481,6434.0,8210.0
482,9248.0,11274.0
483,11978.0,16679.0
484,0.0,0.0
485,0.0,0.0
486,0.0,0.0
487,3334.0,4949.0
488,9707.0,14241.0
489,10473.0,15351.0
490,2450.0,3834.0
491,9193.0,12849.0
492,9921.0,15800.0
493,9097.0,14349.0
495,6754.0,9229.0
496,2946.0,4781.0
498,3679.0,5858.0
499,3852.0,6048.0
500,4708.0,6778.0
501,5744.0,6190.0
502,9389.0,13897.0
503,6151.0,6318.0
